row,pos,cgPlaId,expNm,siteOfOriginPedigree,measureYr,measureDt,plaStatusDesc,basalRosetteCt,floweringRosetteCt,basalLfCt,longestBasalLf,longestCaulineLf,hdct,minHdHeight,maxHdHeight,wrinkledLvsPres,insects,ant1,ant2to10,antGT10,aphid1,aphid2to10,aphid11to80,aphidGT80,lfMiner,lfRolled,antNest,lfHopper,pupa,eggSac,beetle,grasshopper,spittle,whtFuzzy,whtScary,other(Note),insectsNote
17.00,959.00,1,1996,Lf,2008,2008-08-19,flowering,,1,7,20,,1,38,38,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2009,2009-07-31,flowering,3,2,4,18,,1,15,45,,>80 aphids;2-10 ants;ant nest,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2010,2010-07-15,flowering,3,1,16,27,25,1,38,38,,2-10 aphids;2-10 ants,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2011,2011-07-22,flowering,2,2,19,24,18,2,42,51,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2012,2012-07-06,flowering,4,3,11,28,23,2,22,55,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2004,2004-08-08,basal,2,0,9,24,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2005,2005-08-17,basal,2,0,10,30,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2006,2006-07-18,basal,2,0,11,20,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,959.00,1,1996,Lf,2007,2007-07-20,basal,2,0,10,27,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2006,2006-07-18,flowering,,1,0,,,1,35,35,,11-80 aphids;1 ant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2004,2004-08-08,basal,1,0,5,29,,,,,,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2005,2005-08-17,basal,1,0,6,35,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2007,2007-07-20,basal,2,0,3,27,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2008,2008-08-19,basal,2,0,9,23,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2009,2009-07-31,basal,2,0,7,24,,,,,,>80 aphids;2-10 ants;ant nest,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2010,2010-07-15,basal,1,0,3,21,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2011,2011-07-22,basal,1,0,3,26,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,958.00,2,1996,Eriley,2012,2012-07-06,basal,1,0,6,34,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2004,2004-08-08,flowering,,,0,0,,2,37,55,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2005,2005-08-17,flowering,,2,12,30,,2,56,63,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2006,2006-07-18,flowering,,3,0,,,4,48,57,,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2007,2007-07-20,flowering,,3,20,32,,3,57,59,,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2008,2008-08-19,flowering,,5,11,29,,6,48,55,,2-10 ants;11-80 aphids,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2009,2009-07-31,flowering,3,2,15,33,,2,62,66,,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2011,2011-07-22,basal,5,0,39,21,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2012,2012-07-06,basal,7,0,24,29,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,957.00,3,1996,Eriley,2010,2010-07-15,basal based on subsequent yrs data,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2004,2004-08-08,flowering,,,0,0,,1,65,65,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2007,2007-07-20,flowering,,1,4,22,,1,57,57,,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2011,2011-07-22,flowering,2,4,8,27,27,4,44,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2006,2006-07-18,basal,1,0,6,25,,,,,,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2008,2008-08-19,basal,5,0,23,24,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2009,2009-07-31,basal,5,0,24,31,,,,,,11-80 aphids;2-10 ants;ant nest,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2010,2010-07-15,basal,4,0,24,38,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2012,2012-07-06,basal,4,0,18,39,,,,,,11-80 aphids;leaf miner,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
17.00,956.00,4,1996,Eriley,2005,2005-08-17,basal based on subsequent yrs data,1,0,0,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2004,2004-08-08,flowering,,,7,22,,1,48,48,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2006,2006-07-18,flowering,,3,0,,,2,6,40,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2007,2007-07-20,flowering,,1,6,28,,1,43,43,,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2008,2008-08-19,flowering,,1,0,0,,1,43,43,,1 ant;11-80 aphids,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2005,2005-08-17,basal,2,0,6,39,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2010,2010-07-15,basal,2,0,5,21,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2011,2011-07-22,basal,1,0,7,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2012,2012-07-06,basal,1,0,6,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,955.00,5,1996,Lf,2009,2009-07-31,basal based on subsequent yrs data,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2006,2006-07-18,flowering,,2,0,,,2,55,56,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2004,2004-08-08,basal,2,0,7,29,,,,,,11-80 aphids;ant nest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2005,2005-08-17,basal,2,0,10,40,,,,,,11-80 aphids;1 ant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2007,2007-07-20,basal,3,0,10,20,,,,,,11-80 aphids;1 ant;ant nest,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2008,2008-08-19,basal,3,0,8,23,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2009,2009-07-31,basal,2,0,6,28,,,,,,>80 aphids;>10 ants;ant nest,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2010,2010-07-15,basal,2,0,4,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2011,2011-07-22,basal,2,0,10,31,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,954.00,6,1996,Eriley,2012,2012-07-06,basal,1,0,3,15,,,,,,leaf miner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2004,2004-08-08,can't find,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2005,2005-08-17,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2006,2006-07-18,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2007,2007-07-20,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2008,2008-08-19,staple or wooden stake,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2009,2009-07-31,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2010,2010-07-15,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2011,2011-07-22,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,953.00,7,1996,Eriley,2012,2012-07-06,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2004,2004-08-08,staple or wooden stake,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2005,2005-08-17,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2006,2006-07-18,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2007,2007-07-20,staple or wooden stake,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2008,2008-08-19,staple or wooden stake,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2009,2009-07-31,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2010,2010-07-15,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2011,2011-07-22,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,952.00,8,1996,Lf,2012,2012-07-06,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2004,2004-08-08,flowering,,,8,25,,1,37,37,,>80 aphids;other (Note),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Larva
17.00,951.00,9,1996,Eriley,2006,2006-07-18,flowering,,1,6,28,,2,41,60,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2005,2005-08-17,basal,2,0,8,42,,,,,,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2007,2007-07-20,basal,1,0,9,19,,,,,1,11-80 aphids;2-10 ants;ant nest,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2008,2008-08-19,can't find,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2009,2009-07-31,can't find,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2010,2010-07-15,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2011,2011-07-22,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,951.00,9,1996,Eriley,2012,2012-07-06,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2004,2004-08-08,basal,1,0,4,19,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2005,2005-08-17,basal,1,0,4,10,,,,,1,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2006,2006-07-18,can't find,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2007,2007-07-20,can't find,,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2008,2008-08-19,can't find,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2009,2009-07-31,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2010,2010-07-15,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2011,2011-07-22,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,950.00,10,1996,Eriley,2012,2012-07-06,staple or wooden stake,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2009,2009-07-31,flowering,1,1,4,19,,0,6,6,,2-10 aphids;2-10 ants,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2011,2011-07-22,flowering,4,1,15,20,21,1,39,39,,leaf miner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2012,2012-07-06,flowering,1,2,4,23,18,1,13,32,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2005,2005-08-17,basal,3,0,8,18,,,,,,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2006,2006-07-18,basal,2,0,8,13,,,,,,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2007,2007-07-20,basal,2,0,7,23,,,,,,11-80 aphids;1 ant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2008,2008-08-19,basal,2,0,10,14,,,,,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2010,2010-07-15,basal,2,0,11,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.00,949.00,11,1996,Eriley,2004,2004-08-08,fl based on dud & vd (includeForHdCt=0),,,0,0,,0,10,10,,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
