row,pos,cg_pla_id,site_of_origin_pedigree,measure_yr,measure_dt,pla_status_desc,basal_rosette_ct,flowering_rosette_ct,basal_lf_ct,longest_basal_lf,longest_cauline_lf,min_hd_height,max_hd_height,wrinkled_lvs_pres,insects,ant1,ant2to10,ant_gt10,aphid1,aphid2to10,aphid11to80,aphid_gt80,lf_miner,lf_rolled,ant_nest,lf_hopper,pupa,egg_sac,beetle,grasshopper,spittle,wht_fuzzy,wht_scary,other_note,insects_note,yr_planted,ld,fl,hd_ct,ach_ct,any_bug,sqrt_ach_ct
17,957,3,Eriley,2005,2005-08-17,flowering,NA,2,12,30,NA,56,63,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
17,948,12,SPP,2005,2005-08-17,flowering,NA,1,5,19,NA,44,44,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
17,945,15,Eriley,2005,2005-08-17,flowering,NA,1,3,27,NA,72,72,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
17,941,19,Eriley,2005,2005-08-17,flowering,NA,3,7,37,NA,67,70,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,0,1.732050807568877
23,957,27,AA,2005,2005-08-17,flowering,NA,1,12,49,NA,55,81,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,1,1.414213562373095
23,954,30,SPP,2005,2005-08-17,flowering,NA,7,0,0,NA,7,69,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,6,6,0,2.449489742783178
23,953,31,SPP,2005,2005-08-17,flowering,NA,2,8,18,NA,16,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
23,951,33,SPP,2005,2005-08-17,flowering,NA,1,12,27,NA,49,49,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
23,950,34,Lf,2005,2005-08-17,flowering,NA,1,0,0,NA,51,51,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
24,959,49,SPP,2005,2005-08-12,flowering,NA,2,18,39,NA,63,71,0,11-80 aphids;1 ant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,1,1.414213562373095
24,958,50,SPP,2005,2005-08-12,flowering,NA,1,18,36,NA,63,63,0,11-80 aphids;2-10 ants;other (Note),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1 brn laval sac 4mm,1996,1,1,1,1,1,1
24,955,53,AA,2005,2005-08-12,flowering,NA,1,17,43,NA,68,81,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,0,1.732050807568877
24,954,54,Eriley,2005,2005-08-12,flowering,NA,1,12,31,NA,59,59,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
24,953,55,Eriley,2005,2005-08-12,flowering,NA,1,15,40,NA,61,61,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
24,950,58,Eriley,2005,2005-08-12,flowering,NA,2,0,0,NA,76,82,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
24,946,62,Eriley,2005,2005-08-12,flowering,NA,2,16,39,NA,69,72,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,1,1.414213562373095
24,945,63,Lf,2005,2005-08-12,flowering,NA,1,9,24,NA,53,53,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
24,944,64,Lf,2005,2005-08-12,flowering,NA,3,5,21,NA,40,63,1,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,1,1.732050807568877
24,942,66,Nessman,2005,2005-08-12,flowering,NA,1,4,15,NA,63,63,0,2-10 aphids,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
28,956,79,SPP,2005,2005-08-11,flowering,NA,1,23,38,NA,78,78,1,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
28,952,83,Lf,2005,2005-08-11,flowering,NA,1,10,24,NA,55,55,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
28,951,84,Eriley,2005,2005-08-11,flowering,NA,2,3,27,NA,40,62,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
28,947,88,Eriley,2005,2005-08-11,flowering,NA,1,5,26,NA,77,77,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
33,959,101,SPP,2005,2005-08-11,flowering,NA,1,0,0,NA,42,42,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
33,951,109,SPP,2005,2005-08-11,flowering,NA,1,4,28,NA,45,45,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
33,948,112,SPP,2005,2005-08-11,flowering,NA,2,5,28,NA,31,32,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
33,947,113,Eriley,2005,2005-08-11,flowering,NA,3,10,38,NA,45,72,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4,0,2
33,946,114,Eriley,2005,2005-08-11,flowering,NA,1,0,0,NA,48,48,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
33,944,116,Eriley,2005,2005-08-11,flowering,NA,2,50,37,NA,53,60,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
33,943,117,SPP,2005,2005-08-11,flowering,NA,1,28,31,NA,70,70,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
33,942,118,Eriley,2005,2005-08-11,flowering,NA,3,15,36,NA,30,76,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,0,1.732050807568877
33,941,119,Nessman,2005,2005-08-11,flowering,NA,2,21,27,NA,58,59,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
33,940,120,Eriley,2005,2005-08-11,flowering,NA,2,10,36,NA,55,65,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,0,1.732050807568877
33,936,124,Lf,2005,2005-08-11,flowering,NA,6,17,27,NA,45,64,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,6,6,0,2.449489742783178
34,950,135,Eriley,2005,2005-08-11,flowering,NA,4,10,34,NA,46,60,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4,0,2
34,947,138,Lf,2005,2005-08-11,flowering,NA,1,6,45,NA,63,63,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
34,946,139,Eriley,2005,2005-08-11,flowering,NA,1,10,36,NA,57,76,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
34,943,142,Eriley,2005,2005-08-11,flowering,NA,3,14,36,NA,17,68,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,1,1.414213562373095
34,942,143,Eriley,2005,2005-08-11,flowering,NA,2,9,33,NA,65,75,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2,0,1.414213562373095
34,940,145,Eriley,2005,2005-08-11,flowering,NA,1,13,36,NA,75,75,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,1,1
38,944,165,Lf,2005,2005-08-12,flowering,NA,2,6,27,NA,37,56,0,ant nest;egg sac;wht fuzzy,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"1 larva sac #mm, brn;",1996,1,1,2,2,1,1.414213562373095
14,958,174,Stevens,2005,2005-08-12,flowering,NA,1,3,17,NA,49,49,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
15,954,202,Unknown,2005,2005-08-14,flowering,NA,1,17,38,NA,65,65,0,2-10 aphids;wht fuzzy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1996,1,1,1,1,1,1
15,947,209,NWLF,2005,2005-08-14,flowering,NA,3,7,32,NA,49,59,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3,0,1.732050807568877
16,959,222,Stevens,2005,2005-08-14,flowering,NA,1,22,32,NA,70,70,1,2-10 aphids;other (Note),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Shield bug;,1996,1,1,1,1,1,1
16,956,225,Stevens,2005,2005-08-14,flowering,NA,1,18,37,NA,63,63,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1,0,1
