"aka","year","site","ld","fl","hdCt","source","demo","Ax","Ly","nn1","nn2","nn3","nn4","nn5","nn6","nn7","unit"
"aa12",1996,"spp",1,1,1,"ice.csv; entirely unambiguous hdCt;tag=1014","flw",683498.71978897,191910.309065375,4.14508762843826,4.43341479736997,4.82184689467341,5.01438943949051,5.14698159769885,6.53897446661971,6.74236793649734,"west"
"aa12",2000,"spp",1,1,1,"ice.csv; spp2000 demo records","flw",683498.71978897,191910.309065375,15.0859177955134,15.1689344607399,16.090416234665,17.7073791346581,20.4577580637081,30.1593081603217,38.3495117500894,"west"
"aa12",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa12",2007,"spp",1,1,2,"ice.csv; naughtyList","flw",683498.71978897,191910.309065375,3.51413707335025,4.82184689467341,5.27626949443234,6.24707213552217,6.83512595078188,7.43924329779257,10.7813084439977,"west"
"aa12",2008,"spp",1,1,2,"autoAssign","flw",683498.71978897,191910.309065375,5.14698159769885,9.25348255641711,9.33376625662456,11.4626795365953,12.1001591702994,13.6945342412237,15.1689344607399,"west"
"aa12",2009,"spp",1,1,2,"autoAssign","flw",683498.71978897,191910.309065375,5.27626949443234,9.25348255641711,9.33376625662456,14.1068063719554,34.2251510011414,36.2562039745279,37.0761724371973,"west"
"aa12",2010,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa12",2015,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa12",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa21",1996,"spp",1,1,3,"ice.csv; automatic ice-maker for 1996;tag=1175","flw",683350.210138728,191908.252539262,1.51946659531928,1.60598010476252,2.55867845317025,2.87099839797407,9.52304824516478,10.3204442805698,12.2763315794474,"west"
"aa21",1998,"spp",1,1,1,"ice.csv; hdCt from inflobs983 and harvestlist_98;tag=1175","flw",683350.210138728,191908.252539262,3.03076856292782,9.52304824516478,11.6050855792808,14.2443239683066,57.8818303534677,97.6595666131159,108.111645911309,"west"
"aa21",1999,"spp",1,1,1,"ice.csv; spp1999 records","flw",683350.210138728,191908.252539262,1.391920789924,4.05109530017241,10.3204442805698,13.6155810042391,16.3287058217304,22.4380635705674,23.9750513366976,"west"
"aa21",2000,"spp",1,1,1,"ice.csv; spp2000 demo records","flw",683350.210138728,191908.252539262,1.391920789924,3.03076856292782,8.21768828915955,10.3204442805698,14.2443239683066,22.0772170034511,22.4380635705674,"west"
"aa21",2001,"spp",1,1,2,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683350.210138728,191908.252539262,0.779446516239179,1.391920789924,1.60598010476252,1.86463578884873,2.55867845317025,2.898983207556,2.95717144239807,"west"
"aa21",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa21",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa21",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa28",1996,"spp",1,1,2,"ice.csv; tag 231 = 965; aka xu89 = zm32;tag=231","flw",683570.34466527,191898.473390768,12.8159605191134,24.0593869506968,24.1273346996416,25.9460831560533,26.2894494679958,26.5226598406467,28.6891832800319,"east"
"aa28",2007,"spp",1,1,1,"ice.csv; naughtyList","flw",683570.34466527,191898.473390768,14.6170322445416,24.1128956104651,24.342299720735,24.8647501151089,25.8423632598559,25.9460831560533,26.2894494679958,"east"
"aa28",2009,"spp",1,1,2,"autoAssign","flw",683570.34466527,191898.473390768,4.89152502155485,13.6812490300244,14.3027698323807,14.6170322445416,23.8659057437874,24.0593869506968,24.342299720735,"east"
"aa28",2010,"spp",1,1,2,"autoAssign","flw",683570.34466527,191898.473390768,14.6170322445416,23.1440305558795,23.8659057437874,23.8933974784644,24.1128956104651,25.1039195680404,25.8423632598559,"east"
"aa28",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa28",2015,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa28",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa29",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa29",2009,"spp",1,1,3,"autoAssign","flw",683767.863654315,191925.866118755,0.509613327077024,2.620098545722,2.77049473987207,14.7026109670948,19.0841424673578,43.351020537676,48.1586904643108,"east"
"aa29",2010,"spp",1,1,1,"autoAssign","flw",683767.863654315,191925.866118755,2.620098545722,2.77049473987207,14.7026109670948,19.0841424673578,46.5217704883646,46.9016889835806,48.2290551609713,"east"
"aa29",2012,"spp",1,1,1,"autoAssign","flw",683767.863654315,191925.866118755,2.620098545722,5.90901114726052,48.1586904643108,48.2290551609713,51.0867242746598,54.4085020167135,54.5334688022701,"east"
"aa29",2014,"spp",1,1,3,"autoAssign","flw",683767.863654315,191925.866118755,0.509613327077024,2.620098545722,2.77049473987207,5.90901114726052,12.7849061653853,14.4713449654902,14.7026109670948,"east"
"aa29",2015,"spp",1,0,NA,"ice.csv; naughtyList","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa56",1996,"spp",1,1,1,"ice.csv; automatic ice-maker for 1996;tag=1285","flw",683371.012136986,191916.663458669,2.90873288610413,3.84090987734188,3.91028029163684,5.50450104127689,6.15261820207409,7.19061775294112,10.3072140954101,"west"
"aa56",1999,"spp",1,1,1,"ice.csv; spp1999 records","flw",683371.012136986,191916.663458669,1.74029387690754,6.15261820207409,7.78315410378071,8.82333799527276,19.5891876637206,21.3717363821461,22.4380635705674,"west"
"aa56",2000,"spp",1,1,1,"ice.csv; spp2000 demo","flw",683371.012136986,191916.663458669,1.00321464138247,8.19563364130772,14.5981366647391,19.6201285477384,21.3717363821461,22.4380635705674,32.7101884597918,"west"
"aa56",2001,"spp",1,1,1,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683371.012136986,191916.663458669,0.956366286080432,1.00321464138247,1.32498309058727,1.55331729044982,2.45061367654912,5.44524852925348,5.59001519677477,"west"
"aa56",2002,"spp",1,0,NA,"ice.csv; NA rosetteCt but basal","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa56",2005,"spp",1,1,1,"ice.csv; naughtyList","flw",683371.012136986,191916.663458669,0.623301406362131,3.15692859587547,5.44524852925348,5.6013581524155,5.8222074946076,6.62193653973124,7.50230737616225,"west"
"aa56",2006,"spp",1,1,3,"ice.csv; spp2006 records","flw",683371.012136986,191916.663458669,2.22823167064505,11.1462606497144,23.0946771147575,29.3560803755095,29.3985439891415,31.9439533993265,42.0558781043015,"west"
